Reference, Quantity, Value, Footprint, Datasheet, Digikey, JLCPCB
J1 ,1,"Conn_02x25_Odd_Even","AL_Footprints:PinHeader_2x25_P2.54mm_Vertical_Shrouded","~","ED10530-ND","C601945"
J2 ,1,"Conn_02x25_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x25_P2.54mm_Vertical","~","S7093-ND","C40024"
