Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x25_Odd_Even","PinHeader_2x25_P2.54mm_Vertical_Shrouded",107.950000,-68.580000,270.000000,bottom
"J2","Conn_02x25_Odd_Even","PinSocket_2x25_P2.54mm_Vertical",132.080000,-38.100000,180.000000,bottom
